Duration,Total_Number_Of_Vehicle,Total_Risky_Deceleration_Count,Total_Number_Of_Risky_Decelerated_Car
10.0,8,0,0
20.0,8,1,1
30.0,12,2,2
40.0,12,2,2
50.0,20,5,5
60.0,20,5,5
70.0,24,6,6
80.0,24,6,6
90.0,32,7,7
100.0,32,7,7
110.0,36,9,9
120.0,36,9,9
130.0,44,9,9
140.0,44,9,9
150.0,48,11,11
160.0,48,11,11
170.0,56,12,12
180.0,56,12,12
190.0,60,13,13
200.0,60,13,13
210.0,60,13,13
220.0,60,13,13
230.0,60,13,13
240.0,60,13,13
250.0,60,13,13
260.0,60,13,13
270.0,60,13,13
280.0,60,13,13
290.0,60,13,13
300.0,60,13,13
310.0,60,13,13
320.0,60,13,13
330.0,60,13,13
340.0,60,13,13
350.0,60,13,13
360.0,60,13,13
370.0,60,13,13
380.0,60,13,13
390.0,60,13,13
400.0,60,13,13
410.0,60,13,13
420.0,60,13,13
430.0,60,13,13
440.0,60,13,13
450.0,60,13,13
460.0,60,13,13
470.0,60,13,13
480.0,60,13,13
490.0,60,13,13
